Date,V1,V2,V3,V4,V5,Ann_Total_Return,Ann_Forecast_Total_Return,Low_95_Bound,Up_95_Bound
10/01/2000,77.72,5.9,2.74,82.3,13.22,17.187,NA,NA,NA
01/01/2001,75.75,5.84,2.75,-45.58,13.31,10.286,NA,NA,NA
04/01/2001,73.98,5.79,2.76,-2.72,13.41,11.611,NA,NA,NA
07/01/2001,72.24,5.75,2.78,-46.69,13.5,9.246,NA,NA,NA
10/01/2001,71.15,5.71,2.76,-117.86,13.58,6.396,NA,NA,NA
01/01/2002,71.59,5.67,2.76,-7.8,13.64,8.224,NA,NA,NA
04/01/2002,72.55,5.65,2.76,33.12,13.7,7.594,NA,NA,NA
07/01/2002,73.03,5.65,2.76,28.66,13.74,10.96,NA,NA,NA
10/01/2002,72.92,5.64,2.78,43.4,13.78,8.303,NA,NA,NA
01/01/2003,73.23,5.63,2.79,39.87,13.8,9.314,NA,NA,NA
04/01/2003,72.94,5.61,2.76,-9.22,13.82,9.513,NA,NA,NA
07/01/2003,73.51,5.59,2.75,2.8,13.83,8.367,NA,NA,NA
10/01/2003,74.42,5.6,2.74,46.18,13.82,8.417,NA,NA,NA
01/01/2004,74.97,5.62,2.73,58.73,13.86,12.563,NA,NA,NA
04/01/2004,75.62,5.65,2.74,97.69,13.9,11.366,NA,NA,NA
07/01/2004,76.32,5.67,2.73,83.06,13.91,12.03,NA,NA,NA
10/01/2004,77.32,5.7,2.73,91.1,13.96,16.265,NA,NA,NA
01/01/2005,78.29,5.71,2.73,124.89,13.99,15.534,NA,NA,NA
04/01/2005,78.29,5.75,2.73,24.68,14.01,24.907,NA,NA,NA
07/01/2005,77.67,5.78,2.73,7.92,14.09,19.325,NA,NA,NA
10/01/2005,78.47,5.81,2.74,97.44,14.07,25.106,NA,NA,NA
01/01/2006,78.81,5.86,2.73,102.67,14.1,14.845,NA,NA,NA
04/01/2006,78.62,5.9,2.73,92.74,14.12,16.332,NA,NA,NA
07/01/2006,78.57,5.92,2.73,97.29,14.2,12.18,NA,NA,NA
10/01/2006,78.45,5.94,2.73,55.73,14.25,15.223,NA,NA,NA
