Index,DGS3MO
Jan 2018,1.44
Feb 2018,1.48
Mar 2018,1.63
Apr 2018,1.77
May 2018,1.85
Jun 2018,1.92
Jul 2018,1.98
Aug 2018,2.03
Sep 2018,2.13
Oct 2018,2.23
Nov 2018,2.32
Dec 2018,2.38
Jan 2019,2.42
Feb 2019,2.4
Mar 2019,2.44
Apr 2019,2.43
May 2019,2.43
Jun 2019,2.35
Jul 2019,2.21
Aug 2019,2.07
Sep 2019,1.98
Oct 2019,1.82
Nov 2019,1.52
Dec 2019,1.6
Jan 2020,1.54
Feb 2020,1.57
Mar 2020,1.13
Apr 2020,0.09
May 2020,0.12
Jun 2020,0.14
Jul 2020,0.14
Aug 2020,0.1
Sep 2020,0.12
Oct 2020,0.09
Nov 2020,0.09
Dec 2020,0.09
