Name,R,H,D,T,HR,SB,BB,RBI,K,BA,SLG,
Abreu,54,127,30,1,8,21,78,60,113,0.253,0.365,
Andino,63,120,22,0,5,13,41,36,83,0.263,0.344,
Andrus,96,164,27,3,5,37,56,60,74,0.279,0.361,
Avila,63,137,33,4,19,3,73,82,131,0.295,0.506,
Aybar,71,155,33,8,10,30,31,59,68,0.279,0.421,
Barney,66,146,23,6,2,9,22,43,67,0.276,0.353,
Bartlett,61,136,22,3,2,23,48,40,98,0.245,0.307,
Bautista,105,155,24,2,43,9,132,103,111,0.302,0.608,
Bay,59,109,19,1,12,11,56,57,109,0.245,0.374,
Beckham,60,115,23,0,10,5,35,44,111,0.23,0.337,
Beltran,78,156,39,6,22,4,71,84,88,0.3,0.525,
Beltre,82,144,33,0,32,1,25,105,53,0.296,0.561,
Berkman,90,147,23,2,31,2,92,94,93,0.301,0.547,
Betancourt,51,140,27,3,13,4,16,68,63,0.252,0.381,
Bonifacio,78,167,26,7,5,40,59,36,129,0.296,0.393,
Bourjos,72,136,26,11,12,22,32,43,124,0.271,0.438,
Bourn,94,193,34,10,2,61,53,50,140,0.294,0.386,
Braun,109,187,38,6,33,33,58,111,93,0.332,0.597,
Bruce,84,150,27,2,32,8,71,97,158,0.256,0.474,
Buck,41,106,15,1,16,0,54,57,115,0.227,0.367,
Butler,74,174,44,0,19,2,66,95,95,0.291,0.461,
Cabrera,102,201,44,5,18,20,35,87,94,0.305,0.47,
Cabrera,111,197,48,0,30,2,108,105,89,0.344,0.586,
Cabrera,87,165,32,3,25,17,44,92,119,0.273,0.46,
Callaspo,54,137,23,0,6,8,58,46,48,0.288,0.375,
Cano,104,188,46,7,28,8,38,118,96,0.302,0.533,
Carroll,52,131,14,6,0,10,47,17,58,0.29,0.347,
Castro,91,207,36,9,10,22,35,66,96,0.307,0.432,
Crawford,65,129,29,7,11,18,23,56,104,0.255,0.405,
Crisp,69,140,27,5,8,49,41,54,65,0.264,0.379,
Cruz,64,125,28,1,29,9,33,87,116,0.263,0.509,
Cuddyer,70,150,29,2,20,11,48,70,95,0.284,0.459,
Damon,79,152,29,7,16,19,51,73,92,0.261,0.418,
DeJesus,60,106,20,5,10,4,45,46,86,0.24,0.376,
Desmond,65,148,27,5,8,25,35,49,139,0.253,0.358,
Ellis,54,119,24,1,7,14,22,41,75,0.248,0.346,
Ellsbury,119,212,46,5,32,39,52,105,98,0.321,0.552,
Encarnacion,70,131,36,0,17,8,43,55,77,0.272,0.453,
Escobar,69,139,21,8,4,26,25,46,73,0.254,0.343,
Escobar,77,149,24,3,11,3,61,48,70,0.29,0.413,
Espinosa,72,135,29,5,21,17,57,66,166,0.236,0.414,
Ethier,67,142,30,0,11,0,58,62,103,0.292,0.421,
Fielder,95,170,36,1,38,1,107,120,106,0.299,0.566,
Fowler,84,128,35,15,5,12,68,45,130,0.266,0.432,
Francoeur,77,171,47,4,20,22,37,87,123,0.285,0.476,
Freeman,67,161,32,0,21,4,53,76,142,0.282,0.448,
Fukudome,59,139,27,3,8,4,61,35,110,0.262,0.37,
Gardner,87,132,19,8,7,49,60,36,93,0.259,0.369,
Gonzalez,108,213,45,3,27,1,74,117,119,0.338,0.548,
Gonzalez,59,136,27,1,15,2,22,56,126,0.241,0.372,
Gonzalez,91,142,27,3,26,20,48,92,105,0.295,0.526,
Gordon,101,185,45,4,23,17,67,87,139,0.303,0.502,
Granderson,136,153,26,10,41,25,85,119,169,0.262,0.552,
Guerrero,60,163,30,1,13,2,17,63,56,0.29,0.416,
Hamilton,80,145,31,5,25,8,39,94,93,0.298,0.536,
Hardy,76,142,27,0,30,0,31,80,92,0.269,0.491,
Hart,80,140,25,4,26,7,51,63,114,0.285,0.51,
Hill,61,128,27,3,8,21,35,61,72,0.246,0.356,
Holliday,83,132,36,0,22,2,60,75,93,0.296,0.525,
Hosmer,66,153,27,3,19,11,34,78,82,0.293,0.465,
Howard,81,141,30,1,33,1,75,116,172,0.253,0.488,
Huff,45,128,27,1,12,5,47,59,90,0.246,0.37,
Hunter,80,152,24,2,23,5,62,82,125,0.262,0.429,
Ibanez,65,131,31,1,20,2,33,84,106,0.245,0.419,
Infante,55,160,24,8,7,4,34,49,67,0.276,0.382,
Jackson,90,147,22,11,10,22,56,45,181,0.249,0.374,
Jay,56,135,24,2,10,6,28,37,81,0.297,0.424,
Jeter,84,162,24,4,6,16,46,61,81,0.297,0.388,
Johnson,75,121,27,7,21,16,60,58,163,0.222,0.413,
Jones,68,159,26,2,25,12,29,83,113,0.28,0.466,
Jones,56,125,33,1,18,2,51,70,80,0.275,0.47,
Joyce,69,128,32,2,19,13,49,75,106,0.277,0.478,
Kemp,115,195,33,4,39,40,74,126,159,0.324,0.586,
Kendrick,86,153,30,6,18,14,33,63,119,0.285,0.464,
Kinsler,121,158,34,4,32,30,89,77,71,0.255,0.477,
Konerko,69,163,25,0,31,1,77,105,89,0.3,0.517,
Kotchman,44,153,24,2,10,2,48,48,66,0.306,0.422,
Lee,66,161,38,4,18,4,59,94,60,0.275,0.446,
Lind,56,125,16,0,26,1,32,87,107,0.251,0.439,
Loney,56,153,30,1,12,4,42,65,67,0.288,0.416,
Longoria,78,118,26,1,31,3,80,99,93,0.244,0.495,
Ludwick,56,116,23,0,13,1,51,75,124,0.237,0.363,
Markakis,72,182,31,1,15,12,62,73,75,0.284,0.406,
Martinez,76,178,40,0,12,1,46,103,51,0.33,0.47,
Matsui,58,130,28,0,12,1,56,72,84,0.251,0.375,
Maybin,82,136,24,8,9,40,44,40,125,0.264,0.393,
