Name,ATT,TD,SCK
 Matt Schaub ,583,29,25
 Peyton Manning ,571,33,10
 Tom Brady ,565,28,16
 Jay Cutler ,555,27,35
 Tony Romo ,550,26,34
 Kyle Orton ,541,21,29
 Aaron Rodgers ,541,30,50
 Brett Favre ,531,33,34
 David Garrard ,516,15,42
 Drew Brees ,514,34,20
 Kurt Warner ,513,26,24
 Eli Manning ,509,27,30
 Jason Campbell ,507,20,43
 Ben Roethlisberger ,506,26,50
 Joe Flacco ,499,21,36
 Matt Cassel ,493,16,42
 Matt Hasselbeck ,488,17,32
 Philip Rivers ,486,28,25
 Carson Palmer ,466,21,26
 Matt Ryan ,451,22,19
 Chad Henne ,451,12,26
 Donovan McNabb ,443,22,35
 Matthew Stafford ,377,13,24
 Alex Smith ,372,18,22
 Mark Sanchez ,364,12,26
 Jake Delhomme ,321,8,23
 Josh Freeman ,291,10,20
 Vince Young ,259,10,9
 Brady Quinn ,256,8,19
 Marc Bulger ,247,5,14
 JaMarcus Russell ,246,3,33
 Ryan Fitzpatrick ,227,9,21
 Kerry Collins ,216,6,6
 Trent Edwards ,183,6,23
 Derek Anderson ,182,3,11
 Kyle Boller ,176,3,17
