TEAM,W2010,W2011
Arizona Diamondbacks,65,94
Atlanta Braves,91,89
Baltimore Orioles,66,69
Boston Red Sox,89,90
Chicago Cubs,75,71
Chicago White Sox,88,79
Cincinnati Reds,91,79
Cleveland Indians,69,80
Colorado Rockies,83,73
Detroit Tigers,81,95
Florida Marlins,80,72
Houston Astros,76,56
Kansas City Royals,67,71
Los Angeles Angels,80,86
Los Angeles Dodgers,80,82
Milwaukee Brewers,77,96
Minnesota Twins,94,63
New York Mets,79,77
New York Yankees,95,97
Oakland Athletics,81,74
Philadelphia Phillies,97,102
Pittsburgh Pirates,57,72
San Diego Padres,90,71
San Francisco Giants,92,86
Seattle Mariners,61,67
St. Louis Cardinals,86,90
Tampa Bay Rays,96,91
Texas Rangers,90,96
Toronto Blue Jays,85,81
Washington Nationals,69,80
