Team,PF,PA
Arizona Cardinals ,312,348
Atlanta Falcons ,402,350
Baltimore Ravens,378,266
Buffalo Bills ,372,434
Carolina Panthers ,406,429
Chicago Bears ,353,341
Cincinnati Bengals ,344,323
Cleveland Browns,218,307
Dallas Cowboys,369,347
Denver Broncos ,309,390
Detroit Lions ,474,387
Green Bay Packers,560,359
Houston Texans ,381,278
Indianapolis Colts ,243,430
Jacksonville Jaguars,243,329
Kansas City Chiefs,212,338
Miami Dolphins ,329,313
Minnesota Vikings,340,449
New England Patriots,513,342
New Orleans Saints,547,339
New York Giants ,394,400
New York Jets ,377,363
Oakland Raiders ,359,433
Philadelphia Eagles ,396,328
Pittsburgh Steelers ,325,227
San Diego Chargers ,406,377
San Francisco 49ers ,380,229
Seattle Seahawks ,321,315
St. Louis Rams ,193,407
Tampa Bay Buccaneers,287,494
Tennessee Titans ,325,317
Washington Redskins ,288,367
