Name,GP,P,TOI
Daniel Winnik,84,23,16.7
Cody Hodgson,83,41,13.81666667
Steven Stamkos,82,97,22.01666667
Ryan Getzlaf,82,57,21.6
Eric Staal,82,70,21.55
Zach Parise,82,69,21.48333333
Anze Kopitar,82,76,21.33333333
Dany Heatley,82,53,20.95
Joe Pavelski,82,61,20.61666667
Jarome Iginla,82,67,20.6
John Tavares,82,81,20.56666667
Patrick Marleau,82,64,20.48333333
Joe Thornton,82,77,20.46666667
Brad Richards,82,66,20.26666667
Patrick Kane,82,66,20.2
Dustin Brown,82,54,20.16666667
Phil Kessel,82,82,20.05
David Backes,82,54,20
Henrik Zetterberg,82,69,19.83333333
Loui Eriksson,82,71,19.76666667
Jason Pominville,82,73,19.68333333
Andrew Ladd,82,50,19.56666667
Marian Gaborik,82,76,19.51666667
Matt Moulson,82,69,19.3
Tomas Fleischmann,82,61,19.1
Henrik Sedin,82,81,19.08333333
Rick Nash,82,59,19.08333333
Ryan Smyth,82,46,19.08333333
Kyle Brodziak,82,44,19.06666667
Olli Jokinen,82,61,18.96666667
Derek Stepan,82,51,18.95
Dainius Zubrus,82,44,18.68333333
Ray Whitney,82,77,18.65
Gabriel Landeskog,82,52,18.61666667
Erik Cole,82,61,18.53333333
Brooks Laich,82,41,18.5
Bobby Ryan,82,57,18.35
Chris Kunitz,82,61,18.31666667
Patrik Berglund,82,38,17.96666667
Vinny Prospal,82,55,17.88333333
Teemu Selanne,82,66,17.88333333
Scott Hartnell,82,67,17.78333333
Frans Nielsen,82,47,17.45
Brandon Sutter,82,32,17.4
Michael Ryder,82,62,17.38333333
Antoine Vermette,82,37,17.2
Troy Brouwer,82,33,17.18333333
Justin Williams,82,59,17.15
Lauri Korpikoski,82,37,17.13333333
Pascal Dupuis,82,59,16.93333333
Wayne Simmonds,82,49,15.91666667
Petr Sykora,82,44,15.9
Matt Cooke,82,38,15.68333333
Colin Greening,82,37,15.58333333
Brian Boyle,82,26,15.23333333
Jannik Hansen,82,39,14.9
Alexei Ponikarovsky,82,33,14.75
Chris Kelly,82,39,14.73333333
Andrew Cogliano,82,26,14.7
Nick Foligno,82,47,14.65
Jason Chimera,82,39,14.43333333
Vernon Fiddler,82,21,13.98333333
Darroll Powe,82,13,13.98333333
Mikkel Boedker,82,24,13.63333333
Brandon Prust,82,17,11.95
Craig Adams,82,18,11.28333333
Maxim Lapierre,82,19,11.23333333
Tomas Plekanec,81,52,20.75
Marian Hossa,81,77,19.96666667
Patrik Elias,81,78,19.85
Shawn Horcoff,81,34,19.58333333
Ryan O'Reilly,81,55,19.53333333
Patrice Bergeron,81,64,18.58333333
David Desharnais,81,60,18.4
Valtteri Filppula,81,66,18.26666667
Milan Lucic,81,61,17.03333333
Milan Hejduk,81,37,17.01666667
Tyler Seguin,81,67,16.93333333
Teddy Purcell,81,65,16.13333333
Maxime Talbot,81,34,16
Jiri Hudler,81,50,15.66666667
Erik Condra,81,25,14.16666667
Zack Smith,81,26,14.06666667
Tom Kostopoulos,81,12,12.31666667
Justin Abdelkader,81,22,12.31666667
Jamal Mayers,81,15,9.8
Kyle Clifford,81,12,9.4
Shawn Thornton,81,13,9.183333333
Corey Perry,80,60,21.38333333
Stephen Weiss,80,57,20.51666667
Jason Spezza,80,84,19.91666667
T.J. Oshie,80,54,19.53333333
Derek Roy,80,44,19.31666667
James Neal,80,81,19.13333333
Blake Wheeler,80,64,19.08333333
P.A. Parenteau,80,67,18.65
Logan Couture,80,65,18.56666667
Alex Burrows,80,52,18.46666667
Drew Stafford,80,50,17.65
Tomas Kopecky,80,32,17.26666667
Marcus Johansson,80,46,16.8
David Clarkson,80,46,16.36666667
Josh Bailey,80,32,15.21666667
Samuel Pahlsson,80,17,14.76666667
Jay McClement,80,17,13.75
Drew Miller,80,25,12.86666667
Matt Martin,80,14,12.15
Scott Nichol,80,8,9.316666667
Shane Doan,79,50,19.6
Paul Stastny,79,53,18.83333333
David Krejci,79,62,18.41666667
Max Pacioretty,79,65,18.26666667
