Name,R,LG,K,W ,HR,WHIP
Verlander,3.7125,AL,10.0875,2.3625,0.75,1.175
Halladay,3.0879,AL,7.8326,1.318,0.8285,1.1255
Hernandez,3.0545,AL,8.183,2.6774,0.5656,1.1355
Wainwrigh,2.897,NL,8.1888,2.5494,0.6567,1.2103
Lee,3.4187,NL,7.0317,1.6705,0.6604,1.2432
Sabathia,3.7565,AL,7.7087,2.6217,0.7043,1.1478
Greinke,2.5116,AL,9.4971,2.0015,0.4317,1.0727
Haren,3.2573,NL,8.7515,1.4913,1.0596,1.0029
Lincecum,2.7559,NL,10.4246,2.716,0.3994,1.0473
Arroyo,4.1256,NL,5.1876,2.6551,1.2663,1.2663
Shields,4.6297,AL,6.8422,2.1305,1.1882,1.3247
Vazquez,3.0775,NL,9.766,1.8055,0.8207,1.0258
Jimenez,3.5917,NL,8.1743,3.5092,0.5367,1.2294
Cain,3.0184,NL,7.0704,3.0184,0.9096,1.1807
Marquis,4.3333,NL,4.7917,3.3333,0.625,1.3796
Jurrjens,2.9721,NL,6.3628,3.1395,0.6279,1.214
Wolf,3.4012,NL,6.7185,2.4355,1.0078,1.1011
Jackson,3.9112,AL,6.771,2.9439,1.1355,1.2617
Pineiro,3.9533,NL,4.4159,1.1355,0.4626,1.1449
Buehrle,4.0922,AL,4.4297,1.8984,1.1391,1.2516
Duke,4.2676,NL,4.4789,2.0704,0.9718,1.3146
Beckett,4.1962,AL,8.4349,2.3312,1.0597,1.1915
Weaver,3.8815,AL,7.4218,2.8152,1.109,1.2417
Johnson,3.3158,NL,8.2249,2.4976,0.6029,1.1579
Burnett,4.3043,AL,8.4783,4.2174,1.087,1.401
Lannan,4.3619,NL,3.8821,2.9661,0.9596,1.3473
Blackburn,4.5073,AL,4.2885,1.7942,1.094,1.3663
Rodriguez,3.3695,NL,8.4457,2.7569,0.919,1.2399
Garland,4.6765,NL,4.8088,2.6912,1.0147,1.402
Davis,4.4705,NL,6.4623,4.559,1.1066,1.5049
Lester,3.541,AL,9.959,2.8328,0.8852,1.2295
Garza,4.1232,AL,8.3793,3.5025,1.1084,1.2611
Danks,3.9983,AL,6.6938,3.2795,1.2579,1.2829
Baker,4.455,AL,7.29,2.16,1.26,1.19
Dempster,4.23,NL,7.74,2.925,0.99,1.305
Guthrie,5.4,AL,4.95,2.7,1.575,1.42
Pavano,5.3729,AL,6.6371,1.7609,1.1739,1.3746
Millwood,3.9866,AL,5.5721,3.2164,1.1779,1.3389
Correia,4.1818,NL,6.4545,2.9091,0.7727,1.303
Billingsl,4.309,NL,8.2054,3.9423,0.7793,1.3192
Blanton,4.1007,NL,7.5102,2.7184,1.3823,1.3157
Looper,5.6866,NL,4.6233,2.9589,1.8031,1.4897
Lowe,5.0394,NL,5.1318,2.9127,0.7397,1.5154
Maholm,4.7158,NL,5.5017,2.774,0.6473,1.4435
Pettitte,4.6695,AL,6.8425,3.5137,0.9247,1.3818
Hamels,4.4148,NL,7.8072,1.9983,1.1153,1.2857
Floyd,4.3368,AL,7.601,2.7513,0.9793,1.228
Carpenter,2.2889,NL,6.7266,1.7751,0.327,1.0069
Zito,4.1719,NL,7.2188,3.7969,0.9844,1.3542
Feldman,4.1283,AL,5.362,3.0844,0.8541,1.2812
