Golfer,Dist,GinR,Putt,Scr,Avg
Aaron Baddeley ,296.2,65.48,0.35,59.44,70.23
Adam Scott ,299.7,68.08,-0.172,59,69.87
Alex Cejka ,280.3,66.1,-0.684,56.94,71.18
Alex Prugh ,298.6,65.95,-0.575,47.91,71.9
Alexandre Rocha ,290.9,68.23,0.009,55.21,71.26
Andres Gonzales ,293.1,64.42,0.2,52.85,71.63
Andres Romero ,294.7,63.41,0.462,56.48,70.5
Angel Cabrera ,301.6,63.89,0.535,52.17,70.7
Anthony Kim ,294.2,61.58,0.232,58.45,70.78
Arjun Atwal ,284.8,63.25,0.012,55.65,71.44
Aron Price ,282.6,67.09,0.073,55.19,70.73
Ben Crane ,284.9,66.36,0.129,61.31,70.43
Ben Curtis ,276.7,65.82,0.212,61.58,70.84
Ben Martin ,289.5,64.76,0.407,52.93,71.42
Bill Haas ,296.6,69.44,0.115,58.3,70.13
Bill Lunde ,291.5,69.38,-0.017,56.7,71.05
Billy Horschel ,291,67.07,-0.035,54.03,71.51
Billy Mayfair ,283.3,68.77,-0.197,60.87,70.75
Bio Kim ,296.1,59.49,0.056,54.85,71.7
Blake Adams ,292.1,65.48,0.482,60.63,70.7
Bo Van Pelt ,297.4,68.02,-0.192,58.69,70.09
Bobby Gates ,297.4,64.71,-0.422,51.49,71.62
Boo Weekley ,296.6,71.68,-1.102,52.85,71.18
Brandt Jobe ,298.5,69.16,0.025,58.72,70.33
Brandt Snedeker ,287.2,64.9,0.586,61.45,69.86
Brendan Steele ,292.8,65.45,-0.108,54.53,71.02
Brendon de Jonge ,287.8,66.45,0.296,60.33,70.43
Brian Davis ,283.3,67.35,-0.021,59,70.47
Brian Gay ,269.8,63.44,0.509,63.78,70.21
Briny Baird ,289.1,69.14,0.092,60,70.44
Bryce Molder ,282,65,0.745,62.5,70.43
Bubba Watson ,314.9,69.83,-0.108,50.82,70.62
Cameron Beckman ,284.3,63.18,-0.201,56.76,71.64
Cameron Tringale ,294.3,67.3,0.236,57.69,70.75
Camilo Villegas ,294.4,62.5,-0.165,55.99,71.02
Carl Pettersson ,291.8,65.77,0.465,58.46,70.29
Chad Campbell ,291.1,71.13,-0.495,57.54,70.27
Charl Schwartzel ,297,65.97,0.011,59.77,69.62
Charles Howell III ,297.3,68.91,0.381,63.92,69.66
Charley Hoffman ,299.8,66.79,-0.198,53.64,71.1
Charlie Wi ,285.8,63.65,0.724,58.93,70.76
Chez Reavie ,293.5,68.6,-0.1,55,70.74
