REB,AST,TOV,PF,PTS
5,4,5,4,32
9,1,3,2,32
8,3,5,3,35
14,7,4,0,29
11,5,5,4,29
5,2,5,4,24
7,1,4,5,43
9,3,7,1,29
9,3,2,3,22
4,8,3,1,19
4,1,2,1,23
6,3,3,0,44
4,3,9,1,30
8,3,3,1,21
10,4,1,1,26
11,5,3,3,21
6,1,5,3,25
9,8,2,1,28
17,5,3,4,40
9,5,4,3,32
6,2,6,2,18
7,6,3,1,26
7,3,5,2,25
8,2,1,5,24
12,4,4,1,28
7,2,3,3,26
8,8,6,1,23
6,3,2,4,30
7,3,7,0,22
8,2,4,2,35
8,3,5,1,38
4,1,2,1,23
4,6,2,1,33
9,6,3,4,28
8,4,1,1,31
8,3,5,1,51
10,6,5,2,23
8,1,4,3,33
6,1,3,2,21
5,2,2,2,19
8,3,4,1,27
10,7,2,2,33
7,5,5,4,33
11,4,2,5,22
10,3,3,2,36
13,3,3,1,23
13,1,4,3,36
14,3,7,0,37
7,4,4,0,25
5,2,4,2,20
15,3,5,2,20
8,2,7,4,33
7,4,1,1,28
2,1,4,1,28
10,3,3,3,29
11,5,3,1,22
10,7,5,1,21
6,2,5,2,27
7,3,1,1,26
5,2,3,4,19
2,0,3,0,27
6,3,5,3,12
11,6,6,1,30
8,3,2,2,32
5,3,2,2,33
5,6,4,1,30
