REB,AST,TOV,PF,PTS
8,5,5,1,32
11,6,1,3,27
5,4,5,0,28
6,7,4,2,37
10,3,6,4,29
9,5,2,1,19
6,5,4,1,30
7,7,2,3,36
4,2,1,1,26
6,6,3,0,21
7,10,2,2,34
6,4,4,0,41
4,0,2,1,23
4,9,3,0,26
9,5,3,3,19
9,2,6,1,24
3,7,4,2,17
6,10,5,0,17
8,6,3,2,20
12,7,4,4,14
7,8,1,0,29
5,4,2,2,35
11,8,6,0,19
8,4,4,1,27
11,2,2,1,31
9,6,5,0,21
13,7,3,1,25
10,6,0,2,35
11,6,0,1,38
9,8,4,3,20
4,8,3,1,18
11,8,2,2,25
5,5,2,2,28
9,7,2,2,23
8,3,2,3,35
13,6,2,1,23
2,9,1,1,18
6,10,3,0,17
5,6,6,1,24
9,2,5,1,30
12,8,2,2,19
8,5,7,1,40
11,8,4,1,22
11,5,6,2,35
8,7,4,2,31
6,7,4,3,32
5,5,5,1,18
13,5,3,2,28
9,5,4,1,28
8,8,3,4,31
5,10,4,0,33
5,6,4,0,35
13,7,6,5,23
11,7,5,1,26
7,9,8,2,32
8,13,2,2,33
7,6,4,1,28
9,5,2,2,16
8,10,4,2,34
6,7,2,0,35
6,5,3,3,26
10,6,3,3,37
