year,Team,Wins,Losses,Runs Scored,Runs Allowed,Scoring ratio,Predicted winning %,Actual winning %,Absolute error
2006,Diamondbacks,76,86,773,788,0.980964467,0.490391662,0.469135802,0.02125586
2006,Braves,79,83,849,805,1.054658385,0.526583364,0.487654321,0.038929043
2006,Orioles,70,92,768,899,0.854282536,0.421898035,0.432098765,0.010200731
2006,Red Sox,86,76,820,825,0.993939394,0.496960514,0.530864198,0.033903683
2006,White Sox,90,72,868,794,1.093198992,0.544436576,0.555555556,0.01111898
2006,Cubs,66,96,716,834,0.858513189,0.424309641,0.407407407,0.016902234
2006,Reds,80,82,749,801,0.935081149,0.466489329,0.49382716,0.027337832
2006,Indians,78,84,870,782,1.112531969,0.553118039,0.481481481,0.071636558
2006,Rockies,76,86,813,812,1.001231527,0.500615384,0.469135802,0.031479582
2006,Tigers,95,67,822,675,1.217777778,0.597258574,0.586419753,0.010838821
2006,Marlins,78,84,758,772,0.981865285,0.490850439,0.481481481,0.009368958
2006,Astros,82,80,735,719,1.022253129,0.511002794,0.50617284,0.004829955
2006,Royals,62,100,757,971,0.779608651,0.378028089,0.382716049,0.00468796
2006,Angels,89,73,766,732,1.046448087,0.522685243,0.549382716,0.026697473
2006,Dodgers,88,74,820,751,1.091877497,0.543836506,0.543209877,0.00062663
2006,Brewers,75,87,730,833,0.87635054,0.434386027,0.462962963,0.028576936
2006,Twins,96,66,801,683,1.172767204,0.579015242,0.592592593,0.01357735
2006,Yankees,97,65,930,767,1.212516297,0.595173787,0.598765432,0.003591645
2006,Angels,97,65,834,731,1.140902873,0.565530845,0.598765432,0.033234587
2006,Athletics,93,69,771,727,1.060522696,0.529347178,0.574074074,0.044726897
2006,Phillies,85,77,865,812,1.065270936,0.53157252,0.524691358,0.006881162
2006,Pirates,67,95,691,797,0.867001255,0.429123116,0.413580247,0.015542869
2006,Padres,88,74,731,679,1.076583211,0.536829341,0.543209877,0.006380535
2006,Mariners,78,84,756,792,0.954545455,0.476756757,0.481481481,0.004724725
2006,Giants,76,85,746,790,0.944303797,0.471377654,0.472049689,0.000672036
2006,Cardinals,83,78,781,762,1.024934383,0.512311808,0.51552795,0.003216142
2006,Rays,61,101,689,856,0.804906542,0.393157686,0.37654321,0.016614476
2006,Rangers,80,82,835,784,1.06505102,0.531469699,0.49382716,0.037642538
2006,Blue Jays,87,75,809,754,1.072944297,0.535145221,0.537037037,0.001891816
2006,Natronals,71,91,746,872,0.855504587,0.422595489,0.438271605,0.015676116
2005,Diamondbacks,77,85,696,856,0.813084112,0.397991377,0.475308642,0.077317265
2005,Braves,90,72,769,674,1.140949555,0.565550951,0.555555556,0.009995396
2005,Orioles,74,88,729,800,0.91125,0.453664333,0.456790123,0.00312579
2005,Red Sox,95,67,910,805,1.130434783,0.560995851,0.586419753,0.025423902
2005,White Sox,99,63,741,645,1.148837209,0.568933361,0.611111111,0.04217775
2005,Cubs,79,83,703,714,0.984593838,0.492237588,0.487654321,0.004583267
2005,Reds,73,89,820,889,0.922384702,0.459691219,0.450617284,0.009073935
2005,Indians,93,69,790,642,1.230529595,0.602259656,0.574074074,0.028185582
2005,Rockies,67,95,740,862,0.858468677,0.424284311,0.413580247,0.010704064
2005,Tigers,71,91,723,787,0.918678526,0.457691897,0.438271605,0.019420292
2005,Marlins,83,79,717,732,0.979508197,0.489649142,0.512345679,0.022696537
2005,Astros,89,73,693,609,1.137931034,0.564248705,0.549382716,0.014865989
2005,Royals,56,106,701,935,0.74973262,0.359835709,0.345679012,0.014156697
2005,Angels,95,67,761,643,1.183514774,0.583456079,0.586419753,0.002963674
